year,index,metric,timeseries_original,order,timeseries,outlier
2017,0.330607273,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
2018,0.258750809,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
2019,0.419474625,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
2020,0.178041543,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
2021,0.089405454,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
2022,0.212863007,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
2023,0.373443983,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
2024,0.493015612,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,
1997,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
1998,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
1999,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2000,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2001,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2002,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2003,0.144300144,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2004,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2005,0.122149837,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2006,0.081433225,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2007,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2008,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2009,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2010,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2011,0.331577921,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,outlier
2012,0.140433002,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2013,0.121439611,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2014,0.065703022,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2015,0.270548828,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2016,0.086306099,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2017,0.087950748,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2018,0.114772914,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2019,0.051502146,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2020,0.124610592,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2021,0.062305296,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2022,0.113410831,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2023,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
2024,0.107903965,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,
1997,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
1998,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
1999,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2000,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2001,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2002,0.288600289,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2003,0.428015564,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2004,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2005,0.09380863,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2006,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2007,0.119789171,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2008,0.1001001,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2009,0.358818659,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2010,0.930515697,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,outlier
2011,0.16578896,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2012,0.179838146,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2013,0.324330699,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2014,0.135473114,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2015,0.278256261,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2016,0.051150895,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2017,0.198468954,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2018,0.194457948,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2019,0.285491825,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2020,0.196493349,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2021,0.104712042,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
