port_geo_id2,city,state,Engagement,Reliance,year,Engagement_Rank,Reliance_Rank,PACFIN_YEAR,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,REGION,top_5_e,top_5_r
667000,SAN FRANCISCO,CA,2.534176447,-0.288467463,2019,High,Low,2019,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
600562,ALAMEDA,CA,0.866019801,-0.178640071,2019,Medium High,Low,2019,37.7559595,-122.2743881,CCA,Top 5 Engagement Community,NA
648872,MONTEREY,CA,0.753311233,-0.049094601,2019,Medium High,Low,2019,36.6012789,-121.8829434,CCA,Top 5 Engagement Community,NA
606210,BETHEL ISLAND,CA,0.722167672,3.821166517,2019,Medium High,High,2019,38.0288471,-121.6403979,CCA,Top 5 Engagement Community,Top 5 Reliance Community
673262,SOUTH SAN FRANCISCO,CA,0.65317995,-0.220627871,2019,Medium High,Low,2019,37.6527413,-122.3433607,CCA,Top 5 Engagement Community,NA
667000,SAN FRANCISCO,CA,2.923236437,-0.27125998,2020,High,Low,2020,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
600562,ALAMEDA,CA,0.978780532,-0.13447859,2020,Medium High,Low,2020,37.7559595,-122.2743881,CCA,Top 5 Engagement Community,NA
646114,MARTINEZ,CA,0.709936327,-0.247281857,2020,Medium High,Low,2020,37.9985078,-122.1160487,CCA,Top 5 Engagement Community,NA
648872,MONTEREY,CA,0.673073352,-0.028279151,2020,Medium High,Low,2020,36.6012789,-121.8829434,CCA,Top 5 Engagement Community,NA
668000,SAN JOSE,CA,0.648794891,-0.28819643,2020,Medium High,Low,2020,37.1733268,-121.8174125,CCA,Top 5 Engagement Community,NA
667000,SAN FRANCISCO,CA,2.865758527,-0.268888974,2021,High,Low,2021,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
653000,OAKLAND,CA,0.757795079,-0.263770518,2021,Medium High,Low,2021,37.7694723,-122.224427,CCA,Top 5 Engagement Community,NA
600562,ALAMEDA,CA,0.728936837,-0.131640132,2021,Medium High,Low,2021,37.7559595,-122.2743881,CCA,Top 5 Engagement Community,NA
646114,MARTINEZ,CA,0.675612313,-0.243905051,2021,Medium High,Low,2021,37.9985078,-122.1160487,CCA,Top 5 Engagement Community,NA
648872,MONTEREY,CA,0.62896528,-0.014116618,2021,Medium High,Low,2021,36.6012789,-121.8829434,CCA,Top 5 Engagement Community,NA
667000,SAN FRANCISCO,CA,2.960029607,-0.282078111,2022,High,Low,2022,37.7782251,-122.4424955,CCA,Top 5 Engagement Community,NA
668000,SAN JOSE,CA,0.81383957,-0.300435245,2022,Medium High,Low,2022,37.1733268,-121.8174125,CCA,Top 5 Engagement Community,NA
646114,MARTINEZ,CA,0.770907345,-0.254276799,2022,Medium High,Low,2022,37.9985078,-122.1160487,CCA,Top 5 Engagement Community,NA
600562,ALAMEDA,CA,0.667860383,-0.16371812,2022,Medium High,Low,2022,37.7559595,-122.2743881,CCA,Top 5 Engagement Community,NA
606210,BETHEL ISLAND,CA,0.667860383,5.097455254,2022,Medium High,High,2022,38.0288471,-121.6403979,CCA,Top 5 Engagement Community,Top 5 Reliance Community
623042,EUREKA,CA,0.224172714,-0.194873443,2019,Medium,Low,2019,40.7941276,-124.15685619999999,NCA,Top 5 Engagement Community,NA
625058,FORT BRAGG,CA,0.131632725,0.058412255,2019,Medium,Medium,2019,39.4397296,-123.8015298,NCA,Top 5 Engagement Community,Top 5 Reliance Community
680448,TRINIDAD,CA,0.082813581,5.628136945,2019,Medium,High,2019,41.057563,-124.1432761,NCA,Top 5 Engagement Community,Top 5 Reliance Community
617022,CRESCENT CITY,CA,0.039092735000000003,0.041057495,2019,Medium,Medium,2019,41.7543684,-124.1993251,NCA,Top 5 Engagement Community,Top 5 Reliance Community
660900,RIO DELL,CA,0.036543586,0.21259075,2019,Medium,Medium,2019,40.5023624,-124.1105213,NCA,Top 5 Engagement Community,Top 5 Reliance Community
617022,CRESCENT CITY,CA,0.145690425,0.281522505,2020,Medium,Medium,2020,41.7543684,-124.1993251,NCA,Top 5 Engagement Community,Top 5 Reliance Community
625058,FORT BRAGG,CA,0.129560106,0.127069896,2020,Medium,Medium,2020,39.4397296,-123.8015298,NCA,Top 5 Engagement Community,Top 5 Reliance Community
623042,EUREKA,CA,0.113429787,-0.205690048,2020,Medium,Low,2020,40.7941276,-124.15685619999999,NCA,Top 5 Engagement Community,NA
680448,TRINIDAD,CA,0.111045636,0.600839225,2020,Medium,Medium High,2020,41.057563,-124.1432761,NCA,Top 5 Engagement Community,Top 5 Reliance Community
638702,KLAMATH,CA,0.066034518,-0.161962475,2020,Medium,Low,2020,41.5322013,-124.0064272,NCA,Top 5 Engagement Community,NA
660900,RIO DELL,CA,0.066034518,-0.252484354,2020,Medium,Low,2020,40.5023624,-124.1105213,NCA,Top 5 Engagement Community,NA
638702,KLAMATH,CA,0.489066031,-0.300503377,2021,Medium,Low,2021,41.5322013,-124.0064272,NCA,Top 5 Engagement Community,NA
623042,EUREKA,CA,0.141265581,-0.198691243,2021,Medium,Low,2021,40.7941276,-124.15685619999999,NCA,Top 5 Engagement Community,NA
617022,CRESCENT CITY,CA,0.126630002,0.343783806,2021,Medium,Medium,2021,41.7543684,-124.1993251,NCA,Top 5 Engagement Community,Top 5 Reliance Community
680448,TRINIDAD,CA,0.121301734,0.863235422,2021,Medium,Medium High,2021,41.057563,-124.1432761,NCA,Top 5 Engagement Community,Top 5 Reliance Community
