year,index,sd,SE,metric,species,data.type,data.type2,SElo,SEup,Notes,SE_type,timeseries
2017,11417,2162.88,,Recruitment,Bluefin tuna,recruitment,,9254.12,13579.88,"1,000 fish",SD,Bluefin tuna:Recruitment
2018,9991,2015.12,,Recruitment,Bluefin tuna,recruitment,,7975.88,12006.12,"1,000 fish",SD,Bluefin tuna:Recruitment
2019,7485,1885.74,,Recruitment,Bluefin tuna,recruitment,,5599.26,9370.74,"1,000 fish",SD,Bluefin tuna:Recruitment
2020,6828,2066.95,,Recruitment,Bluefin tuna,recruitment,,4761.05,8894.95,"1,000 fish",SD,Bluefin tuna:Recruitment
2021,8275,3085.08,,Recruitment,Bluefin tuna,recruitment,,5189.92,11360.08,"1,000 fish",SD,Bluefin tuna:Recruitment
2022,11467,6086.54,,Recruitment,Bluefin tuna,recruitment,,5380.46,17553.54,"1,000 fish",SD,Bluefin tuna:Recruitment
1984,1409273,,,Recruitment,Yellowfin tuna,recruitment,,654547.2,3079301,,CI,Yellowfin tuna:Recruitment
1985,1198399,,,Recruitment,Yellowfin tuna,recruitment,,705631.5,2355989,,CI,Yellowfin tuna:Recruitment
1986,1297837,,,Recruitment,Yellowfin tuna,recruitment,,674793.9,2637992,,CI,Yellowfin tuna:Recruitment
1987,1209255,,,Recruitment,Yellowfin tuna,recruitment,,716673.9,2319956,,CI,Yellowfin tuna:Recruitment
1988,1363102,,,Recruitment,Yellowfin tuna,recruitment,,795284.8,2698211,,CI,Yellowfin tuna:Recruitment
1989,1294066,,,Recruitment,Yellowfin tuna,recruitment,,681214.8,2654029,,CI,Yellowfin tuna:Recruitment
1990,1178998,,,Recruitment,Yellowfin tuna,recruitment,,591232.6,2468266,,CI,Yellowfin tuna:Recruitment
1991,1032157,,,Recruitment,Yellowfin tuna,recruitment,,562535.9,2031767,,CI,Yellowfin tuna:Recruitment
1992,1304619,,,Recruitment,Yellowfin tuna,recruitment,,699801,2651291,,CI,Yellowfin tuna:Recruitment
1993,1476699,,,Recruitment,Yellowfin tuna,recruitment,,783078,3001893,,CI,Yellowfin tuna:Recruitment
1994,871238.8,,,Recruitment,Yellowfin tuna,recruitment,,520498.5,1657758,,CI,Yellowfin tuna:Recruitment
1995,1063234,,,Recruitment,Yellowfin tuna,recruitment,,667294.4,1975619,,CI,Yellowfin tuna:Recruitment
1996,1132275,,,Recruitment,Yellowfin tuna,recruitment,,644302.5,2159202,,CI,Yellowfin tuna:Recruitment
1997,1030252,,,Recruitment,Yellowfin tuna,recruitment,,631357.1,1857180,,CI,Yellowfin tuna:Recruitment
1998,1369656,,,Recruitment,Yellowfin tuna,recruitment,,810707.4,2295236,,CI,Yellowfin tuna:Recruitment
1999,2035279,,,Recruitment,Yellowfin tuna,recruitment,,1244589,3308169,,CI,Yellowfin tuna:Recruitment
2000,1094839,,,Recruitment,Yellowfin tuna,recruitment,,727945.7,1763885,,CI,Yellowfin tuna:Recruitment
2001,1142496,,,Recruitment,Yellowfin tuna,recruitment,,767977.3,1922451,,CI,Yellowfin tuna:Recruitment
2002,922452,,,Recruitment,Yellowfin tuna,recruitment,,608436.3,1589854,,CI,Yellowfin tuna:Recruitment
2003,924689.3,,,Recruitment,Yellowfin tuna,recruitment,,621738.4,1558045,,CI,Yellowfin tuna:Recruitment
2004,598155.6,,,Recruitment,Yellowfin tuna,recruitment,,384056.3,1032929,,CI,Yellowfin tuna:Recruitment
2005,825547.1,,,Recruitment,Yellowfin tuna,recruitment,,528028.7,1480983,,CI,Yellowfin tuna:Recruitment
2006,973117.9,,,Recruitment,Yellowfin tuna,recruitment,,560720.5,1855196,,CI,Yellowfin tuna:Recruitment
2007,794432.2,,,Recruitment,Yellowfin tuna,recruitment,,528500.5,1398207,,CI,Yellowfin tuna:Recruitment
2008,856294,,,Recruitment,Yellowfin tuna,recruitment,,562678.2,1486857,,CI,Yellowfin tuna:Recruitment
2009,781654.9,,,Recruitment,Yellowfin tuna,recruitment,,494584.8,1399636,,CI,Yellowfin tuna:Recruitment
2010,790273.5,,,Recruitment,Yellowfin tuna,recruitment,,534279.8,1356377,,CI,Yellowfin tuna:Recruitment
2011,795319.1,,,Recruitment,Yellowfin tuna,recruitment,,521701.1,1382154,,CI,Yellowfin tuna:Recruitment
2012,757525.6,,,Recruitment,Yellowfin tuna,recruitment,,502494,1273070,,CI,Yellowfin tuna:Recruitment
2013,711983.7,,,Recruitment,Yellowfin tuna,recruitment,,502941.8,1108335,,CI,Yellowfin tuna:Recruitment
2014,608772.9,,,Recruitment,Yellowfin tuna,recruitment,,423367.8,911885,,CI,Yellowfin tuna:Recruitment
2015,842962.6,,,Recruitment,Yellowfin tuna,recruitment,,617476,1267655,,CI,Yellowfin tuna:Recruitment
2016,714256.1,,,Recruitment,Yellowfin tuna,recruitment,,487459.8,1107587,,CI,Yellowfin tuna:Recruitment
2017,808253.7,,,Recruitment,Yellowfin tuna,recruitment,,563772.3,1243886,,CI,Yellowfin tuna:Recruitment
2018,978221.8,,,Recruitment,Yellowfin tuna,recruitment,,488062.5,1798578,,CI,Yellowfin tuna:Recruitment
2019,1486848,,,Recruitment,Yellowfin tuna,recruitment,,246326.1,3226259,,CI,Yellowfin tuna:Recruitment
1975,777,273,,Recruits (x1000),North Pacific swordfish,recruitment,,504,1050,,SD,North Pacific swordfish:Recruits (x1000)
1976,768,255,,Recruits (x1000),North Pacific swordfish,recruitment,,513,1023,,SD,North Pacific swordfish:Recruits (x1000)
1977,704,226,,Recruits (x1000),North Pacific swordfish,recruitment,,478,930,,SD,North Pacific swordfish:Recruits (x1000)
1978,596,192,,Recruits (x1000),North Pacific swordfish,recruitment,,404,788,,SD,North Pacific swordfish:Recruits (x1000)
1979,683,233,,Recruits (x1000),North Pacific swordfish,recruitment,,450,916,,SD,North Pacific swordfish:Recruits (x1000)
1980,1169,383,,Recruits (x1000),North Pacific swordfish,recruitment,,786,1552,,SD,North Pacific swordfish:Recruits (x1000)
1981,937,346,,Recruits (x1000),North Pacific swordfish,recruitment,,591,1283,,SD,North Pacific swordfish:Recruits (x1000)
1982,772,284,,Recruits (x1000),North Pacific swordfish,recruitment,,488,1056,,SD,North Pacific swordfish:Recruits (x1000)
1983,1430,394,,Recruits (x1000),North Pacific swordfish,recruitment,,1036,1824,,SD,North Pacific swordfish:Recruits (x1000)
1984,1017,283,,Recruits (x1000),North Pacific swordfish,recruitment,,734,1300,,SD,North Pacific swordfish:Recruits (x1000)
1985,933,235,,Recruits (x1000),North Pacific swordfish,recruitment,,698,1168,,SD,North Pacific swordfish:Recruits (x1000)
1986,888,275,,Recruits (x1000),North Pacific swordfish,recruitment,,613,1163,,SD,North Pacific swordfish:Recruits (x1000)
1987,825,214,,Recruits (x1000),North Pacific swordfish,recruitment,,611,1039,,SD,North Pacific swordfish:Recruits (x1000)
1988,813,201,,Recruits (x1000),North Pacific swordfish,recruitment,,612,1014,,SD,North Pacific swordfish:Recruits (x1000)
1989,675,217,,Recruits (x1000),North Pacific swordfish,recruitment,,458,892,,SD,North Pacific swordfish:Recruits (x1000)
1990,711,222,,Recruits (x1000),North Pacific swordfish,recruitment,,489,933,,SD,North Pacific swordfish:Recruits (x1000)
1991,777,230,,Recruits (x1000),North Pacific swordfish,recruitment,,547,1007,,SD,North Pacific swordfish:Recruits (x1000)
1992,727,212,,Recruits (x1000),North Pacific swordfish,recruitment,,515,939,,SD,North Pacific swordfish:Recruits (x1000)
1993,673,185,,Recruits (x1000),North Pacific swordfish,recruitment,,488,858,,SD,North Pacific swordfish:Recruits (x1000)
1994,698,157,,Recruits (x1000),North Pacific swordfish,recruitment,,541,855,,SD,North Pacific swordfish:Recruits (x1000)
1995,1323,150,,Recruits (x1000),North Pacific swordfish,recruitment,,1173,1473,,SD,North Pacific swordfish:Recruits (x1000)
1996,752,99,,Recruits (x1000),North Pacific swordfish,recruitment,,653,851,,SD,North Pacific swordfish:Recruits (x1000)
1997,708,94,,Recruits (x1000),North Pacific swordfish,recruitment,,614,802,,SD,North Pacific swordfish:Recruits (x1000)
1998,1202,134,,Recruits (x1000),North Pacific swordfish,recruitment,,1068,1336,,SD,North Pacific swordfish:Recruits (x1000)
1999,822,109,,Recruits (x1000),North Pacific swordfish,recruitment,,713,931,,SD,North Pacific swordfish:Recruits (x1000)
2000,707,99,,Recruits (x1000),North Pacific swordfish,recruitment,,608,806,,SD,North Pacific swordfish:Recruits (x1000)
2001,729,98,,Recruits (x1000),North Pacific swordfish,recruitment,,631,827,,SD,North Pacific swordfish:Recruits (x1000)
2002,881,108,,Recruits (x1000),North Pacific swordfish,recruitment,,773,989,,SD,North Pacific swordfish:Recruits (x1000)
2003,1019,121,,Recruits (x1000),North Pacific swordfish,recruitment,,898,1140,,SD,North Pacific swordfish:Recruits (x1000)
2004,1192,134,,Recruits (x1000),North Pacific swordfish,recruitment,,1058,1326,,SD,North Pacific swordfish:Recruits (x1000)
2005,851,110,,Recruits (x1000),North Pacific swordfish,recruitment,,741,961,,SD,North Pacific swordfish:Recruits (x1000)
2006,819,101,,Recruits (x1000),North Pacific swordfish,recruitment,,718,920,,SD,North Pacific swordfish:Recruits (x1000)
2007,791,96,,Recruits (x1000),North Pacific swordfish,recruitment,,695,887,,SD,North Pacific swordfish:Recruits (x1000)
2008,746,91,,Recruits (x1000),North Pacific swordfish,recruitment,,655,837,,SD,North Pacific swordfish:Recruits (x1000)
2009,660,84,,Recruits (x1000),North Pacific swordfish,recruitment,,576,744,,SD,North Pacific swordfish:Recruits (x1000)
2010,774,93,,Recruits (x1000),North Pacific swordfish,recruitment,,681,867,,SD,North Pacific swordfish:Recruits (x1000)
2011,728,92,,Recruits (x1000),North Pacific swordfish,recruitment,,636,820,,SD,North Pacific swordfish:Recruits (x1000)
2012,758,96,,Recruits (x1000),North Pacific swordfish,recruitment,,662,854,,SD,North Pacific swordfish:Recruits (x1000)
2013,896,112,,Recruits (x1000),North Pacific swordfish,recruitment,,784,1008,,SD,North Pacific swordfish:Recruits (x1000)
2014,971,123,,Recruits (x1000),North Pacific swordfish,recruitment,,848,1094,,SD,North Pacific swordfish:Recruits (x1000)
2015,1016,130,,Recruits (x1000),North Pacific swordfish,recruitment,,886,1146,,SD,North Pacific swordfish:Recruits (x1000)
2016,964,130,,Recruits (x1000),North Pacific swordfish,recruitment,,834,1094,,SD,North Pacific swordfish:Recruits (x1000)
2017,747,109,,Recruits (x1000),North Pacific swordfish,recruitment,,638,856,,SD,North Pacific swordfish:Recruits (x1000)
2018,783,113,,Recruits (x1000),North Pacific swordfish,recruitment,,670,896,,SD,North Pacific swordfish:Recruits (x1000)
2019,739,116,,Recruits (x1000),North Pacific swordfish,recruitment,,623,855,,SD,North Pacific swordfish:Recruits (x1000)
2020,625,112,,Recruits (x1000),North Pacific swordfish,recruitment,,513,737,,SD,North Pacific swordfish:Recruits (x1000)
2021,633,122,,Recruits (x1000),North Pacific swordfish,recruitment,,511,755,,SD,North Pacific swordfish:Recruits (x1000)
1971,NA,NA,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
