year,index,metric,timeseries_original,order,timeseries,outlier
1997,0.814457494,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
1998,2.237136465,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
1999,0.341421374,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2000,1.338354967,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2001,0.48395651,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2002,0.275432175,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2003,0.242248062,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2004,0.196264641,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2005,0.347249317,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2006,0.360140485,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2007,0.288931252,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2008,0.207790597,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2009,0.497813076,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2010,0.198549724,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2011,1.568255064,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2012,0.707872928,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2013,0.552486188,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2014,0.383427121,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2015,0.572232032,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2016,0.091857731,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2017,0.420671232,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2018,0.256739409,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2019,0.255828347,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2020,0.111801242,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2021,0.078732864,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2022,0.10968253,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2023,0.089867446,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
2024,0.270738575,Encounter rate,Sooty shearwater (May - Oct) North,3,Sooty shearwater encounter rate (Ce/So CC) North,
