metric,timeseries,year,SElo,index,SEup,region_type
snowpack,Columbia Glaciated,1967,-0.237715169220969,1.00479999767031,2.24731092534934,Ecoregion
snowpack,Columbia Glaciated,1968,-0.930846029458579,0.311667674655643,1.55418006385603,Ecoregion
snowpack,Columbia Glaciated,1969,0.0724958357841903,0.8805681019967,1.68876975211434,Ecoregion
snowpack,Columbia Glaciated,1970,-0.862986574449534,-0.122067761166764,0.619016830924156,Ecoregion
snowpack,Columbia Glaciated,1971,0.693629939182603,1.43296185772114,2.1762070096034,Ecoregion
snowpack,Columbia Glaciated,1972,1.3508697290326,2.09268007013728,2.83485172477672,Ecoregion
snowpack,Columbia Glaciated,1973,-1.1078427483492,-0.366023882801664,0.374237420830778,Ecoregion
snowpack,Columbia Glaciated,1974,1.41203873097498,2.15207735210252,2.89447849565951,Ecoregion
snowpack,Columbia Glaciated,1975,0.0809788952318046,0.806471428766313,1.53283394174837,Ecoregion
snowpack,Columbia Glaciated,1976,0.0938821291645278,0.811399062982676,1.53069583866525,Ecoregion
snowpack,Columbia Glaciated,1977,-1.95931577203814,-1.24501731879133,-0.534596570401779,Ecoregion
snowpack,Columbia Glaciated,1978,-0.918058057628728,-0.206171133849083,0.506573623996858,Ecoregion
snowpack,Columbia Glaciated,1979,-0.920580156199754,-0.48947656141556,-0.0598937693446586,Ecoregion
snowpack,Columbia Glaciated,1980,-0.287266037099178,0.17501398113366,0.638429943969631,Ecoregion
snowpack,Columbia Glaciated,1981,-1.47525366636973,-1.05484097438723,-0.635126877845317,Ecoregion
snowpack,Columbia Glaciated,1982,0.806069436803722,1.14669223443994,1.48699409386761,Ecoregion
snowpack,Columbia Glaciated,1983,0.223234489628581,0.570132330345105,0.915307295418149,Ecoregion
snowpack,Columbia Glaciated,1984,-0.712773384456,-0.383683710337525,-0.0556553338559255,Ecoregion
snowpack,Columbia Glaciated,1985,-0.0783030391076997,0.250950750388674,0.578236935240245,Ecoregion
snowpack,Columbia Glaciated,1986,-0.913329388309464,-0.586891375304443,-0.260701802049657,Ecoregion
snowpack,Columbia Glaciated,1987,-0.760397985116969,-0.433248714374699,-0.107505128697503,Ecoregion
snowpack,Columbia Glaciated,1988,-0.670952444868739,-0.348208251842125,-0.0258984408956323,Ecoregion
snowpack,Columbia Glaciated,1989,0.110475229333554,0.432754150551788,0.755656417096601,Ecoregion
snowpack,Columbia Glaciated,1990,-0.167161460501849,0.151926153968318,0.46857768282965,Ecoregion
snowpack,Columbia Glaciated,1991,0.126215871887481,0.438124156973382,0.75089775613609,Ecoregion
snowpack,Columbia Glaciated,1992,-1.22732059718031,-0.924017003523742,-0.621339515118131,Ecoregion
snowpack,Columbia Glaciated,1993,-1.04006652426809,-0.736328864939021,-0.433819314619624,Ecoregion
snowpack,Columbia Glaciated,1994,-0.973055011504571,-0.669923551458689,-0.367140264058635,Ecoregion
snowpack,Columbia Glaciated,1995,-0.18702887798937,0.114080079989426,0.414019519171224,Ecoregion
snowpack,Columbia Glaciated,1996,-0.109012348615824,0.191056557667978,0.491789804267323,Ecoregion
snowpack,Columbia Glaciated,1997,1.88456443824334,2.18818069921666,2.48803042793047,Ecoregion
snowpack,Columbia Glaciated,1998,-0.427352332654978,-0.127061336847434,0.173381623258387,Ecoregion
snowpack,Columbia Glaciated,1999,1.51060934493298,1.81058014629802,2.11138255890374,Ecoregion
snowpack,Columbia Glaciated,2000,-0.0893460622120612,0.211765050105639,0.511578741982769,Ecoregion
snowpack,Columbia Glaciated,2001,-1.56264266720875,-1.26158740200372,-0.96168806037706,Ecoregion
snowpack,Columbia Glaciated,2002,0.464776790924318,0.764729821322674,1.06558686961794,Ecoregion
snowpack,Columbia Glaciated,2003,-0.509762051331336,-0.209707700772353,0.09093861148516,Ecoregion
snowpack,Columbia Glaciated,2004,-0.689121404223654,-0.388899685947938,-0.0884957061769986,Ecoregion
snowpack,Columbia Glaciated,2005,-1.90603633707514,-1.60545093078489,-1.30536962533746,Ecoregion
snowpack,Columbia Glaciated,2006,0.333492559371185,0.633861442849039,0.934150142023324,Ecoregion
snowpack,Columbia Glaciated,2007,-0.644987181236003,-0.344881147362743,-0.04430859528559,Ecoregion
snowpack,Columbia Glaciated,2008,0.358970481699961,0.659576839311687,0.959644972067876,Ecoregion
snowpack,Columbia Glaciated,2009,-0.460046339351698,-0.158676345009133,0.14112573907373,Ecoregion
snowpack,Columbia Glaciated,2010,-0.895999520110656,-0.595855746908318,-0.295357726088908,Ecoregion
snowpack,Columbia Glaciated,2011,0.555859439525943,0.857080647015444,1.15686359482473,Ecoregion
snowpack,Columbia Glaciated,2012,0.683724998505079,0.984160685086668,1.28436985081597,Ecoregion
snowpack,Columbia Glaciated,2013,-0.449444208933568,-0.149795352464308,0.152150456289766,Ecoregion
snowpack,Columbia Glaciated,2014,0.00970472243637937,0.310933380088963,0.610722528028033,Ecoregion
snowpack,Columbia Glaciated,2015,-1.95986967683354,-1.66006020249316,-1.35847015133067,Ecoregion
snowpack,Columbia Glaciated,2016,-0.081023346949997,0.21873265420306,0.52007213721957,Ecoregion
snowpack,Columbia Glaciated,2017,-0.133164516916895,0.166640656549724,0.467776420733049,Ecoregion
snowpack,Columbia Glaciated,2018,0.304145799115108,0.604273648399268,0.904829102444844,Ecoregion
snowpack,Columbia Glaciated,2019,-0.917799429982799,-0.616972260226456,-0.317017819781937,Ecoregion
snowpack,Columbia Glaciated,2020,-0.176493903224557,0.123201735108046,0.424764797667862,Ecoregion
