,year,timeseries,index,metric
153,2000,AFSH,0.293862138,Management Group
154,2000,GRND,0.398272689,Management Group
155,2000,SAMN,0.655908907,Management Group
156,2000,OTHR,0.786606173,Management Group
157,2000,HMSP,0.985282493,Management Group
158,2000,CPEL,1.823313164,Management Group
159,2000,SRMP,0.503435205,Management Group
160,2000,CRAB,0.666733284,Management Group
161,2001,AFSH,0.340156985,Management Group
162,2001,GRND,0.36530062,Management Group
163,2001,SAMN,0.741258544,Management Group
164,2001,OTHR,0.708905196,Management Group
165,2001,HMSP,0.772943145,Management Group
166,2001,CPEL,1.659934457,Management Group
167,2001,SRMP,0.442860522,Management Group
168,2001,CRAB,0.811500547,Management Group
169,2002,AFSH,0.303364014,Management Group
170,2002,GRND,0.295234627,Management Group
171,2002,SAMN,0.626102075,Management Group
172,2002,OTHR,0.707439995,Management Group
173,2002,HMSP,0.844301013,Management Group
174,2002,CPEL,1.445530281,Management Group
175,2002,SRMP,0.497189132,Management Group
176,2002,CRAB,0.772801376,Management Group
177,2003,AFSH,0.3066512,Management Group
178,2003,GRND,0.34821859,Management Group
179,2003,SAMN,0.666373782,Management Group
180,2003,OTHR,0.806645208,Management Group
181,2003,HMSP,1.006900422,Management Group
182,2003,CPEL,1.351963184,Management Group
183,2003,SRMP,0.459613457,Management Group
184,2003,CRAB,0.684477243,Management Group
185,2004,AFSH,0.24434035,Management Group
186,2004,GRND,0.406056891,Management Group
187,2004,SAMN,0.57276396,Management Group
188,2004,OTHR,0.876710209,Management Group
189,2004,HMSP,0.974884096,Management Group
190,2004,CPEL,1.444399763,Management Group
191,2004,SRMP,0.494186502,Management Group
192,2004,CRAB,0.524687852,Management Group
193,2005,AFSH,0.378491194,Management Group
194,2005,GRND,0.458722796,Management Group
195,2005,SAMN,0.534642109,Management Group
196,2005,OTHR,0.920361089,Management Group
197,2005,HMSP,1.025630637,Management Group
198,2005,CPEL,1.724198206,Management Group
199,2005,SRMP,0.416485051,Management Group
200,2005,CRAB,0.731052696,Management Group
201,2006,AFSH,0.337905045,Management Group
202,2006,GRND,0.487481188,Management Group
203,2006,SAMN,1.202913408,Management Group
204,2006,OTHR,0.936019469,Management Group
205,2006,HMSP,1.230855481,Management Group
206,2006,CPEL,1.879065356,Management Group
207,2006,SRMP,0.516287835,Management Group
208,2006,CRAB,0.520359414,Management Group
209,2007,AFSH,0.367845753,Management Group
210,2007,GRND,0.452241806,Management Group
211,2007,SAMN,0.994732303,Management Group
212,2007,OTHR,0.893458037,Management Group
213,2007,HMSP,0.962474744,Management Group
214,2007,CPEL,1.720796021,Management Group
215,2007,SRMP,0.599956198,Management Group
216,2007,CRAB,0.638467363,Management Group
217,2008,AFSH,0.42253006,Management Group
218,2008,GRND,0.466277027,Management Group
219,2008,SAMN,1.766048926,Management Group
220,2008,OTHR,0.77030915,Management Group
221,2008,HMSP,1.313821893,Management Group
222,2008,CPEL,1.555850266,Management Group
223,2008,SRMP,0.627653323,Management Group
224,2008,CRAB,0.686893204,Management Group
225,2009,AFSH,0.384716327,Management Group
226,2009,GRND,0.40488476,Management Group
227,2009,SAMN,1.699933599,Management Group
228,2009,OTHR,0.733496901,Management Group
229,2009,HMSP,1.278093802,Management Group
230,2009,CPEL,1.744205669,Management Group
231,2009,SRMP,0.55748808,Management Group
232,2009,CRAB,0.633450789,Management Group
233,2010,AFSH,0.373994517,Management Group
234,2010,GRND,0.409695738,Management Group
235,2010,SAMN,1.522926419,Management Group
236,2010,OTHR,0.816061878,Management Group
237,2010,HMSP,1.144288338,Management Group
238,2010,CPEL,1.619815708,Management Group
239,2010,SRMP,0.651386586,Management Group
240,2010,CRAB,0.648366113,Management Group
241,2011,AFSH,0.387290593,Management Group
242,2011,GRND,0.537841421,Management Group
243,2011,SAMN,1.30092347,Management Group
244,2011,OTHR,0.780310152,Management Group
245,2011,HMSP,1.136727492,Management Group
246,2011,CPEL,1.67022366,Management Group
247,2011,SRMP,0.736004844,Management Group
248,2011,CRAB,0.702098426,Management Group
249,2012,AFSH,0.2930549,Management Group
250,2012,GRND,0.583786252,Management Group
251,2012,SAMN,0.763791093,Management Group
252,2012,OTHR,0.755283519,Management Group
253,2012,HMSP,1.377994686,Management Group
254,2012,CPEL,1.371669973,Management Group
255,2012,SRMP,0.704683164,Management Group
256,2012,CRAB,0.528319626,Management Group
257,2013,AFSH,0.304004756,Management Group
258,2013,GRND,0.654413631,Management Group
259,2013,SAMN,0.833925912,Management Group
260,2013,OTHR,0.690996149,Management Group
261,2013,HMSP,1.306641323,Management Group
262,2013,CPEL,1.338539075,Management Group
263,2013,SRMP,0.675941795,Management Group
264,2013,CRAB,0.530003041,Management Group
265,2014,AFSH,0.327497991,Management Group
266,2014,GRND,0.564934141,Management Group
267,2014,SAMN,0.774673728,Management Group
268,2014,OTHR,0.792342899,Management Group
269,2014,HMSP,1.19087936,Management Group
270,2014,CPEL,1.303736837,Management Group
271,2014,SRMP,0.743276774,Management Group
272,2014,CRAB,0.548546093,Management Group
273,2015,AFSH,0.4427631,Management Group
274,2015,GRND,0.520406675,Management Group
275,2015,SAMN,0.814022001,Management Group
276,2015,OTHR,0.819930371,Management Group
