response,region,year,estimate_low,estimate,estimate_high,region_type
7 day min flow,Columbia Glaciated,1981,0.023002628814163983,0.35424312534763824,0.6851965219903908,Ecoregion
7 day min flow,Columbia Glaciated,1982,0.4277360672233753,0.7584880843493002,1.089758756272595,Ecoregion
7 day min flow,Columbia Glaciated,1983,1.1373752495635974,1.4674776669140253,1.8010668617174626,Ecoregion
7 day min flow,Columbia Glaciated,1984,0.5544451113689202,0.8863839864896256,1.216965460091208,Ecoregion
7 day min flow,Columbia Glaciated,1985,-0.4883061705224265,-0.1550053626033351,0.1750992992953731,Ecoregion
7 day min flow,Columbia Glaciated,1986,-0.29649424363675997,0.03401196663267144,0.36567945810217567,Ecoregion
7 day min flow,Columbia Glaciated,1987,-0.7664656632939922,-0.4353051072963526,-0.10441178028304032,Ecoregion
7 day min flow,Columbia Glaciated,1988,-1.3185610947750894,-0.9867584378075986,-0.656263106504692,Ecoregion
7 day min flow,Columbia Glaciated,1989,-0.5625840521996976,-0.23248318527872647,0.10031210630883947,Ecoregion
7 day min flow,Columbia Glaciated,1990,-0.1058012031411032,0.2250873415337579,0.5562729806991049,Ecoregion
7 day min flow,Columbia Glaciated,1991,0.3741109372461341,0.7046657898528154,1.039199201064989,Ecoregion
7 day min flow,Columbia Glaciated,1992,-0.7439527720029405,-0.4135079942263281,-0.08148838298459915,Ecoregion
7 day min flow,Columbia Glaciated,1993,-0.614702787628614,-0.2832857559627427,0.04738688426212545,Ecoregion
7 day min flow,Columbia Glaciated,1994,-1.2715578815044095,-0.9407609710185404,-0.6094707696834935,Ecoregion
7 day min flow,Columbia Glaciated,1995,-0.9247121546304342,-0.5923808973958156,-0.26195422717406697,Ecoregion
7 day min flow,Columbia Glaciated,1996,0.8018970605047497,1.1325436087173653,1.463957438409556,Ecoregion
7 day min flow,Columbia Glaciated,1997,0.9070818939273255,1.2402875348717297,1.5705727828475724,Ecoregion
7 day min flow,Columbia Glaciated,1998,0.43398561437891997,0.7662704831674955,1.0967727337851876,Ecoregion
7 day min flow,Columbia Glaciated,1999,0.4915660783403289,0.8227841714608689,1.1539559780245239,Ecoregion
7 day min flow,Columbia Glaciated,2000,0.5635199490826595,0.8936650297489428,1.2262663819888662,Ecoregion
7 day min flow,Columbia Glaciated,2001,-1.2645249688341045,-0.9331223361438074,-0.6024207867155704,Ecoregion
7 day min flow,Columbia Glaciated,2002,-0.8178742634501062,-0.485473376787964,-0.15522454853655898,Ecoregion
7 day min flow,Columbia Glaciated,2003,-1.1368342879347544,-0.8065186370065199,-0.4744567365523972,Ecoregion
7 day min flow,Columbia Glaciated,2004,-0.7537108619480953,-0.4228150337408018,-0.09168722176260091,Ecoregion
7 day min flow,Columbia Glaciated,2005,-0.6355306159134275,-0.30547919584700056,0.027918556680014972,Ecoregion
7 day min flow,Columbia Glaciated,2006,-0.5333106464485396,-0.20326169669372401,0.13065468608377148,Ecoregion
7 day min flow,Columbia Glaciated,2007,-0.8070399368736179,-0.4762148168850403,-0.14497144711827809,Ecoregion
7 day min flow,Columbia Glaciated,2008,-0.24612855086881663,0.08467632966894278,0.41631969666753227,Ecoregion
7 day min flow,Columbia Glaciated,2009,-0.490057357303246,-0.15926206592009953,0.1719628127150854,Ecoregion
7 day min flow,Columbia Glaciated,2010,-0.6916287934070751,-0.36028434687644695,-0.029494913887707253,Ecoregion
7 day min flow,Columbia Glaciated,2011,0.5500212505629583,0.8811786178549771,1.212211522095893,Ecoregion
7 day min flow,Columbia Glaciated,2012,-0.04941328710996584,0.2823641630592044,0.6128054423728004,Ecoregion
7 day min flow,Columbia Glaciated,2013,-0.10474997437040379,0.2257238952939622,0.5577580531662168,Ecoregion
7 day min flow,Columbia Glaciated,2014,-0.15742752995639828,0.17312440010827515,0.5052293253636791,Ecoregion
7 day min flow,Columbia Glaciated,2015,-0.8763240854326649,-0.5461728955750621,-0.2133497184864772,Ecoregion
7 day min flow,Columbia Glaciated,2016,-0.7972422060293562,-0.4652153710474201,-0.13477386591115453,Ecoregion
7 day min flow,Columbia Glaciated,2017,-0.2645415336049345,0.06763495699855207,0.3979661912955378,Ecoregion
7 day min flow,Columbia Glaciated,2018,-0.11364282536288736,0.2215161363408003,0.5518561870971863,Ecoregion
7 day min flow,Columbia Glaciated,2019,-0.5341425365133907,-0.200483735360898,0.12976972863298225,Ecoregion
7 day min flow,Columbia Glaciated,2020,-0.3801071071707629,-0.04879835078245919,0.2819348300924217,Ecoregion
7 day min flow,Columbia Glaciated,2021,-0.8045496380600388,-0.4739669353007982,-0.14209434542249944,Ecoregion
7 day min flow,Columbia Glaciated,2022,-0.37009082234017737,-0.03806057741057438,0.2922627385814086,Ecoregion
7 day min flow,Columbia Glaciated,2023,-1.0014870772563058,-0.6692730737379635,-0.3390066587900009,Ecoregion
7 day min flow,Columbia Glaciated,2024,-0.9694270550605828,-0.6316825278584264,-0.2945955033914039,Ecoregion
1 day max flow,Columbia Glaciated,1981,0.2868607028611131,0.6420940422007653,1.0008316926568182,Ecoregion
1 day max flow,Columbia Glaciated,1982,0.2799536606611215,0.6333032328711623,0.9860022325246256,Ecoregion
1 day max flow,Columbia Glaciated,1983,-0.08008551722213453,0.27299520712739905,0.6257912170895223,Ecoregion
1 day max flow,Columbia Glaciated,1984,-0.5335578160779786,-0.17599669632362966,0.179052606515053,Ecoregion
1 day max flow,Columbia Glaciated,1985,-0.8188992912660913,-0.4654486565311675,-0.11286958025121097,Ecoregion
1 day max flow,Columbia Glaciated,1986,-0.24143607875334616,0.11225006294424834,0.4654320634973627,Ecoregion
