year,index,metric,timeseries,order
2020,0,mean % bluefin diet,sardine,7
2021,0.152,mean % bluefin diet,sardine,7
2022,0.001,mean % bluefin diet,sardine,7
2023,0.039,mean % bluefin diet,sardine,7
2024,0,mean % bluefin diet,sardine,7
2008,0.006,mean % bluefin diet,market squid,8
2009,0.042,mean % bluefin diet,market squid,8
2010,0.028,mean % bluefin diet,market squid,8
2011,0.076,mean % bluefin diet,market squid,8
2012,0.044,mean % bluefin diet,market squid,8
2013,0.026,mean % bluefin diet,market squid,8
2014,0.014,mean % bluefin diet,market squid,8
2015,0.006,mean % bluefin diet,market squid,8
2016,0.046,mean % bluefin diet,market squid,8
2017,0.029,mean % bluefin diet,market squid,8
2018,0.052,mean % bluefin diet,market squid,8
2019,0,mean % bluefin diet,market squid,8
2020,0.003,mean % bluefin diet,market squid,8
2021,0.121,mean % bluefin diet,market squid,8
2022,0.017,mean % bluefin diet,market squid,8
2023,0.076,mean % bluefin diet,market squid,8
2024,0.135,mean % bluefin diet,market squid,8
2008,0,mean % bluefin diet,Euphausiidae,9
2009,0,mean % bluefin diet,Euphausiidae,9
2010,0,mean % bluefin diet,Euphausiidae,9
2011,0,mean % bluefin diet,Euphausiidae,9
2012,0,mean % bluefin diet,Euphausiidae,9
2013,0,mean % bluefin diet,Euphausiidae,9
2014,0.006,mean % bluefin diet,Euphausiidae,9
2015,0.007,mean % bluefin diet,Euphausiidae,9
2016,0.059,mean % bluefin diet,Euphausiidae,9
2017,0.106,mean % bluefin diet,Euphausiidae,9
2018,0,mean % bluefin diet,Euphausiidae,9
2019,0,mean % bluefin diet,Euphausiidae,9
2020,0,mean % bluefin diet,Euphausiidae,9
2021,0,mean % bluefin diet,Euphausiidae,9
2022,0,mean % bluefin diet,Euphausiidae,9
2023,0,mean % bluefin diet,Euphausiidae,9
2024,0.036,mean % bluefin diet,Euphausiidae,9
2008,0.914,mean % bluefin diet,other,10
2009,0.543,mean % bluefin diet,other,10
2010,0.835,mean % bluefin diet,other,10
2011,0.656,mean % bluefin diet,other,10
2012,0.622,mean % bluefin diet,other,10
2013,0.73,mean % bluefin diet,other,10
2014,0.736,mean % bluefin diet,other,10
2015,0.816,mean % bluefin diet,other,10
2016,0.528,mean % bluefin diet,other,10
2017,0.328,mean % bluefin diet,other,10
2018,0.151,mean % bluefin diet,other,10
2019,0.401,mean % bluefin diet,other,10
2020,0.116,mean % bluefin diet,other,10
2021,0.372,mean % bluefin diet,other,10
2022,0.228,mean % bluefin diet,other,10
2023,0.633,mean % bluefin diet,other,10
2024,0.509,mean % bluefin diet,other,10
