time,index,nobs,timeseries,stdev,SEup,SElo
1973-12-01T00:00:00Z, 22.415,124,33N, 53.542, 75.957, -31.127
1974-01-01T00:00:00Z,  2.275,124,33N,112.115,114.390,-109.840
1974-02-01T00:00:00Z, 34.489,112,33N, 79.940,114.429, -45.451
1974-03-01T00:00:00Z, 59.328,124,33N, 57.913,117.241,   1.415
1974-04-01T00:00:00Z,116.528,120,33N, 94.080,210.608,  22.448
1974-05-01T00:00:00Z,175.580,124,33N, 93.088,268.668,  82.492
1974-06-01T00:00:00Z,162.374,120,33N, 82.069,244.443,  80.305
1974-07-01T00:00:00Z,115.354,124,33N, 71.847,187.201,  43.507
1974-08-01T00:00:00Z,120.053,124,33N, 55.752,175.805,  64.301
1974-09-01T00:00:00Z, 84.894,120,33N, 39.859,124.753,  45.035
1974-10-01T00:00:00Z, 60.739,124,33N, 80.509,141.248, -19.770
1974-11-01T00:00:00Z, 23.425,120,33N, 48.350, 71.775, -24.925
1974-12-01T00:00:00Z,  4.452,124,33N, 73.487, 77.939, -69.035
1975-01-01T00:00:00Z, 13.278,124,33N, 93.389,106.667, -80.111
1975-02-01T00:00:00Z, 52.469,110,33N, 91.177,143.646, -38.708
1975-03-01T00:00:00Z,102.980,124,33N,125.395,228.375, -22.415
1975-04-01T00:00:00Z,112.295,120,33N, 75.671,187.966,  36.624
1975-05-01T00:00:00Z,157.030,124,33N,113.578,270.608,  43.452
1975-06-01T00:00:00Z,225.013,120,33N,178.882,403.895,  46.131
1975-07-01T00:00:00Z,175.333,124,33N, 83.698,259.031,  91.635
1975-08-01T00:00:00Z,131.265,124,33N, 65.067,196.332,  66.198
1975-09-01T00:00:00Z, 97.557,117,33N, 58.586,156.143,  38.971
1975-10-01T00:00:00Z, 63.164,124,33N, 61.153,124.317,   2.011
1975-11-01T00:00:00Z, 50.203,120,33N,102.120,152.323, -51.917
1975-12-01T00:00:00Z, 17.036,122,33N, 69.123, 86.159, -52.087
1976-01-01T00:00:00Z, -3.601,124,33N, 54.634, 51.033, -58.235
1976-02-01T00:00:00Z, 43.276,116,33N, 67.495,110.771, -24.219
1976-03-01T00:00:00Z, 98.501,124,33N,122.306,220.807, -23.805
1976-04-01T00:00:00Z,116.138,119,33N,126.705,242.843, -10.567
1976-05-01T00:00:00Z,150.890,124,33N, 99.094,249.984,  51.796
1976-06-01T00:00:00Z,136.379,120,33N, 99.094,235.473,  37.285
1976-07-01T00:00:00Z,117.450,124,33N, 64.171,181.621,  53.279
1976-08-01T00:00:00Z,104.524,124,33N, 74.927,179.451,  29.597
1976-09-01T00:00:00Z, 44.978,120,33N, 34.981, 79.959,   9.997
1976-10-01T00:00:00Z, 26.177,124,33N, 25.689, 51.866,   0.488
1976-11-01T00:00:00Z,  1.410,120,33N, 43.413, 44.823, -42.003
1976-12-01T00:00:00Z, -4.010,124,33N, 23.955, 19.945, -27.965
1977-01-01T00:00:00Z, 24.221,124,33N, 73.598, 97.819, -49.377
1977-02-01T00:00:00Z, 44.322,112,33N, 70.721,115.043, -26.399
1977-03-01T00:00:00Z,109.197,124,33N,110.546,219.743,  -1.349
1977-04-01T00:00:00Z,113.392,120,33N, 93.620,207.012,  19.772
1977-05-01T00:00:00Z,135.193,124,33N,108.477,243.670,  26.716
1977-06-01T00:00:00Z,148.627,120,33N, 84.944,233.571,  63.683
1977-07-01T00:00:00Z,130.872,124,33N, 78.270,209.142,  52.602
1977-08-01T00:00:00Z,110.883,124,33N, 81.197,192.080,  29.686
1977-09-01T00:00:00Z, 78.219,120,33N, 51.968,130.187,  26.251
1977-10-01T00:00:00Z, 46.852,124,33N, 38.411, 85.263,   8.441
1977-11-01T00:00:00Z, 35.615,120,33N, 68.201,103.816, -32.586
1977-12-01T00:00:00Z,-29.913,124,33N,157.568,127.655,-187.481
1978-01-01T00:00:00Z, -4.851,124,33N, 47.809, 42.958, -52.660
1978-02-01T00:00:00Z, 25.113,112,33N, 74.566, 99.679, -49.453
1978-03-01T00:00:00Z, 29.542,123,33N, 86.042,115.584, -56.500
1978-04-01T00:00:00Z, 88.844,120,33N, 60.694,149.538,  28.150
1978-05-01T00:00:00Z,116.539,124,33N,104.180,220.719,  12.359
1978-06-01T00:00:00Z,147.343,120,33N, 81.142,228.485,  66.201
1978-07-01T00:00:00Z,133.855,124,33N, 74.212,208.067,  59.643
1978-08-01T00:00:00Z,106.537,124,33N, 69.565,176.102,  36.972
1978-09-01T00:00:00Z, 61.887,120,33N, 73.611,135.498, -11.724
1978-10-01T00:00:00Z, 36.194,124,33N, 31.106, 67.300,   5.088
1978-11-01T00:00:00Z, 19.820,120,33N, 41.484, 61.304, -21.664
1978-12-01T00:00:00Z,  5.319,124,33N, 70.110, 75.429, -64.791
1979-01-01T00:00:00Z,-21.656,124,33N,136.959,115.303,-158.615
1979-02-01T00:00:00Z, 42.702,112,33N, 67.731,110.433, -25.029
1979-03-01T00:00:00Z, 57.692,124,33N, 64.081,121.773,  -6.389
1979-04-01T00:00:00Z,179.601,120,33N,161.638,341.239,  17.963
1979-05-01T00:00:00Z,192.706,124,33N,150.119,342.825,  42.587
1979-06-01T00:00:00Z,207.458,120,33N,170.351,377.809,  37.107
1979-07-01T00:00:00Z,187.663,124,33N,141.528,329.191,  46.135
1979-08-01T00:00:00Z,155.686,124,33N,112.271,267.957,  43.415
1979-09-01T00:00:00Z, 71.755,120,33N, 57.109,128.864,  14.646
1979-10-01T00:00:00Z, 92.636,124,33N, 83.124,175.760,   9.512
1979-11-01T00:00:00Z, 24.177,120,33N, 58.554, 82.731, -34.377
1979-12-01T00:00:00Z,-10.887,124,33N, 55.407, 44.520, -66.294
1980-01-01T00:00:00Z, 10.796,124,33N, 64.891, 75.687, -54.095
1980-02-01T00:00:00Z, -6.913,116,33N,112.819,105.906,-119.732
1980-03-01T00:00:00Z, 81.165,124,33N, 90.922,172.087,  -9.757
1980-04-01T00:00:00Z,134.139,120,33N,129.745,263.884,   4.394
1980-05-01T00:00:00Z,244.326,124,33N,146.813,391.139,  97.513
1980-06-01T00:00:00Z,242.361,120,33N,132.416,374.777, 109.945
1980-07-01T00:00:00Z,198.617,124,33N,124.805,323.422,  73.812
1980-08-01T00:00:00Z,189.660,124,33N,160.720,350.380,  28.940
1980-09-01T00:00:00Z,140.064,120,33N,106.009,246.073,  34.055
1980-10-01T00:00:00Z, 52.415,124,33N,101.002,153.417, -48.587
1980-11-01T00:00:00Z,  7.298,120,33N, 64.231, 71.529, -56.933
1980-12-01T00:00:00Z,-32.393,124,33N, 77.484, 45.091,-109.877
1981-01-01T00:00:00Z, -1.064,124,33N, 37.157, 36.093, -38.221
1981-02-01T00:00:00Z, 19.555,112,33N, 53.205, 72.760, -33.650
1981-03-01T00:00:00Z, 61.046,124,33N, 71.713,132.759, -10.667
1981-04-01T00:00:00Z, 75.188,120,33N, 55.115,130.303,  20.073
1981-05-01T00:00:00Z,111.021,124,33N, 73.055,184.076,  37.966
1981-06-01T00:00:00Z, 89.338,120,33N, 85.506,174.844,   3.832
1981-07-01T00:00:00Z, 60.863,124,33N, 37.228, 98.091,  23.635
1981-08-01T00:00:00Z, 75.012,124,33N, 44.293,119.305,  30.719
1981-09-01T00:00:00Z, 54.885,120,33N, 30.555, 85.440,  24.330
1981-10-01T00:00:00Z, 31.600,124,33N, 30.830, 62.430,   0.770
1981-11-01T00:00:00Z, 17.986,120,33N, 28.061, 46.047, -10.075
1981-12-01T00:00:00Z, 36.012,124,33N, 47.114, 83.126, -11.102
1982-01-01T00:00:00Z, 29.252,124,33N, 66.023, 95.275, -36.771
1982-02-01T00:00:00Z, 22.828,112,33N, 34.963, 57.791, -12.135
1982-03-01T00:00:00Z, 34.143,124,33N, 50.390, 84.533, -16.247
1982-04-01T00:00:00Z, 49.355,120,33N, 45.508, 94.863,   3.847
1982-05-01T00:00:00Z, 84.427,124,33N, 58.555,142.982,  25.872
1982-06-01T00:00:00Z, 98.873,120,33N, 48.038,146.911,  50.835
1982-07-01T00:00:00Z, 68.591,124,33N, 30.752, 99.343,  37.839
1982-08-01T00:00:00Z, 73.299,124,33N, 34.335,107.634,  38.964
1982-09-01T00:00:00Z, 63.207,120,33N, 59.387,122.594,   3.820
1982-10-01T00:00:00Z, 36.239,124,33N, 39.050, 75.289,  -2.811
1982-11-01T00:00:00Z, 21.698,120,33N, 55.607, 77.305, -33.909
1982-12-01T00:00:00Z, 41.940,124,33N, 93.629,135.569, -51.689
1983-01-01T00:00:00Z,-10.280,124,33N, 71.597, 61.317, -81.877
1983-02-01T00:00:00Z, 18.407,112,33N, 49.207, 67.614, -30.800
1983-03-01T00:00:00Z, 32.143,124,33N, 95.825,127.968, -63.682
1983-04-01T00:00:00Z, 70.732,120,33N,124.926,195.658, -54.194
1983-05-01T00:00:00Z,125.243,124,33N, 83.962,209.205,  41.281
1983-06-01T00:00:00Z,121.092,120,33N, 65.260,186.352,  55.832
1983-07-01T00:00:00Z, 99.637,124,33N, 50.752,150.389,  48.885
1983-08-01T00:00:00Z, 60.634,124,33N, 34.588, 95.222,  26.046
1983-09-01T00:00:00Z, 47.759,120,33N, 34.781, 82.540,  12.978
1983-10-01T00:00:00Z, 35.692,124,33N, 56.294, 91.986, -20.602
1983-11-01T00:00:00Z, 45.350,120,33N, 56.001,101.351, -10.651
1983-12-01T00:00:00Z, 26.327,124,33N, 71.377, 97.704, -45.050
1984-01-01T00:00:00Z, 17.837,124,33N, 32.172, 50.009, -14.335
1984-02-01T00:00:00Z, 43.755,116,33N, 41.799, 85.554,   1.956
1984-03-01T00:00:00Z, 78.983,124,33N, 72.116,151.099,   6.867
1984-04-01T00:00:00Z,138.052,120,33N,103.536,241.588,  34.516
1984-05-01T00:00:00Z,143.673,124,33N, 93.901,237.574,  49.772
1984-06-01T00:00:00Z,159.671,120,33N, 75.694,235.365,  83.977
1984-07-01T00:00:00Z, 85.496,124,33N, 47.753,133.249,  37.743
1984-08-01T00:00:00Z, 80.583,124,33N, 58.001,138.584,  22.582
1984-09-01T00:00:00Z, 54.313,120,33N, 58.216,112.529,  -3.903
1984-10-01T00:00:00Z, 78.763,124,33N, 61.732,140.495,  17.031
1984-11-01T00:00:00Z, 32.575,120,33N, 36.939, 69.514,  -4.364
1984-12-01T00:00:00Z, 17.121,124,33N,114.274,131.395, -97.153
1985-01-01T00:00:00Z,  8.745,124,33N, 32.676, 41.421, -23.931
1985-02-01T00:00:00Z, 37.192,112,33N, 57.172, 94.364, -19.980
1985-03-01T00:00:00Z, 91.001,124,33N, 91.841,182.842,  -0.840
1985-04-01T00:00:00Z, 92.476,120,33N, 88.811,181.287,   3.665
1985-05-01T00:00:00Z,121.069,124,33N, 63.391,184.460,  57.678
1985-06-01T00:00:00Z, 94.166,120,33N, 49.016,143.182,  45.150
1985-07-01T00:00:00Z, 92.140,124,33N, 52.806,144.946,  39.334
1985-08-01T00:00:00Z, 83.438,124,33N, 39.118,122.556,  44.320
1985-09-01T00:00:00Z, 55.497,120,33N, 46.295,101.792,   9.202
1985-10-01T00:00:00Z, 49.282,124,33N, 36.581, 85.863,  12.701
1985-11-01T00:00:00Z, 41.209,120,33N, 57.191, 98.400, -15.982
1985-12-01T00:00:00Z,  3.174,124,33N, 45.377, 48.551, -42.203
1986-01-01T00:00:00Z, -3.631,124,33N, 44.326, 40.695, -47.957
1986-02-01T00:00:00Z, 25.585,112,33N, 83.363,108.948, -57.778
1986-03-01T00:00:00Z, 50.619,124,33N, 60.913,111.532, -10.294
1986-04-01T00:00:00Z, 89.902,120,33N, 64.203,154.105,  25.699
1986-05-01T00:00:00Z,103.941,124,33N, 59.749,163.690,  44.192
1986-06-01T00:00:00Z,112.335,120,33N, 57.477,169.812,  54.858
1986-07-01T00:00:00Z, 88.400,124,33N, 56.035,144.435,  32.365
1986-08-01T00:00:00Z, 82.222,124,33N, 43.148,125.370,  39.074
1986-09-01T00:00:00Z, 67.623,120,33N, 33.733,101.356,  33.890
1986-10-01T00:00:00Z, 42.905,124,33N, 46.864, 89.769,  -3.959
