year,index,metric,order,timeseries
1978,-0.026,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1979,0.132,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1980,-0.148,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1981,0.059,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1982,0.004,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1983,-0.540,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1984,0.014,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1985,0.011,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1986,0.082,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1987,-0.040,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1988,0.246,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1989,-0.033,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1990,-0.383,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1991,-0.069,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1992,-0.471,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1993,-0.165,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1994,0.279,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1995,0.010,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1996,0.023,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1997,-0.200,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1998,-0.050,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1999,0.041,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2000,0.123,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2001,0.270,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2002,0.503,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2003,0.161,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2004,-0.108,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2005,-0.783,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2006,-0.783,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2007,-0.426,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2008,-0.173,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2009,0.170,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2010,0.836,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2011,0.235,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2012,0.485,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
