"year","biomass","lwr95","upr95","log_est","se","timeseries","metric","metric2","max","index","index_upr95","index_lwr95"
2012,112879.705808804,68091.7801933351,187127.255996303,11.6340779802937,0.257895655958509,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.0738335804084881,0.122398222100479,0.0445382089901725
2013,409535.122522251,261118.002969728,642311.195213755,12.9227779478824,0.229621691339425,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.267873168008277,0.420129862487541,0.170794891165154
2014,1109668.20066948,805423.583344824,1528839.65783985,13.9195716102878,0.163496882755964,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.7258237938682,1,0.526820179745229
2015,816166.76239096,603078.084907229,1104547.15683163,13.6123739787416,0.154376314953101,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.533847194639201,0.72247416605629,0.394467844822484
2016,23407.3442068627,11227.4640545326,48800.3132459247,10.0608051070978,0.37484714489239,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.015310529189134,0.0319198373718774,0.00734378127683859
2017,38104.4398721545,17235.9908214017,84239.3311191468,10.548086086403,0.404768213319203,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.024923764684384,0.055100173969958,0.0112739035339749
2018,11980.2146033201,4928.36742356433,29122.329892726,9.39101178497478,0.453196452176675,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.00783614850771686,0.019048648917097,0.00322359993626002
2019,3179.79933979526,452.221986114593,22358.7621827838,8.06457337308997,0.995120425415732,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.00207987758787479,0.0146246613031842,0.000295794254025012
2021,351138.638885941,222772.814569908,553471.23012615,12.7689364070439,0.232161737783608,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.229676563585534,0.362020456028835,0.145713655076603
2022,204059.042842168,130503.799718468,319071.881857009,12.2261646566477,0.228069004449079,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.133473148603752,0.208701991880454,0.0853613386134039
2023,38877.7824442379,17718.5095073535,85305.2547763233,10.5681782210485,0.400932425394602,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.0254296009688613,0.0557973848590859,0.0115895145815282
2024,12743.2882469821,4829.08442082659,33627.7814165602,9.45275999998173,0.495084521890962,"Arrowtooth flounder","Biomass index","Total biomass (kg)",1528839.65783985,0.00833526798028482,0.0219956234416852,0.00315865983464202
2003,8201.60066168442,3672.14189749454,18317.9885994159,9.01208461684723,0.409984177813099,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0466320480808899,0.104151050550872,0.0208787899566726
2004,24251.1636691525,14587.7749252746,40315.8769805978,10.0962198815711,0.259331682892688,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.137885453935914,0.229225000257007,0.0829420804266391
2005,56785.9814324206,37837.2538260454,85224.1471346822,10.9470447684804,0.207144276353089,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.322869489226425,0.484561086399095,0.215132229969194
2006,40410.9528007508,26274.8647697299,62152.3695964315,10.6068561361353,0.219640815100049,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.229765575249571,0.353381297982727,0.149391662408651
2007,19405.692453072,11904.3873109291,31633.7909501222,9.87332172742669,0.249320619428331,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.110335435830494,0.179861044376179,0.067685075676773
2008,28845.3533927805,18166.4037851474,45801.8230903062,10.2697041980557,0.235909935267533,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.164006754511521,0.260416582645578,0.103289180942866
2009,100383.928325075,67907.2696651556,148392.552309381,11.5167573969827,0.199421534253649,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.57075543729803,0.843719283537495,0.386102078690714
2010,12690.5310772912,7544.33593185127,21347.0848168042,9.44861140989509,0.265341129226157,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0721548731496922,0.121373659438767,0.0428950214018614
2011,17264.8250671419,10156.9169075947,29346.9157334676,9.75642647754814,0.270676533155043,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0981630520491309,0.166858500183039,0.0577494390578248
2012,11925.0281499124,6608.84277323979,21517.5789855402,9.38639467633342,0.30114371263828,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0678024338164342,0.122343042441179,0.037576064316385
2013,12510.1727261039,6653.66626003432,23521.531666986,9.43429741040832,0.322135567979703,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0711294051159158,0.13373696682835,0.0378309183476378
2014,128776.050397028,94287.9237575039,175879.057412567,11.7658301312402,0.159044622878057,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.732185243038644,1,0.536095230123554
2015,13035.4620582117,7794.80521870997,21799.5532028442,9.47542877324313,0.262359912782948,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0741160559419753,0.123946270372078,0.0443191209538118
2016,8268.94966502633,4528.87246560567,15097.6935389579,9.02026277451369,0.307166098768597,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0470149760106429,0.0858413375706387,0.0257499245915453
2017,18274.396861613,11475.5342387666,29101.3536892747,9.81325628060484,0.237393999927888,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.103903199905978,0.165462301864687,0.0652467349301739
2018,4864.08040316988,2339.18817742299,10114.3116218063,8.48963295376634,0.373513872759602,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0276558248305823,0.0575071971080714,0.0132999813157735
2019,15690.6972209573,7250.44841181749,33956.2417792643,9.66082328202195,0.393887179697926,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0892129935865585,0.193065861727992,0.0412240577046635
2021,121921.496604207,86248.6523874581,172348.795288207,11.7111326461421,0.176606783897121,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.693212133370777,0.979927899453777,0.490386141797093
2022,26272.0590672304,16383.0500953689,42130.1945372889,10.1762612605455,0.240952749994273,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.149375709955068,0.239540711424569,0.0931495218156559
2023,16338.9301362982,9227.28064795579,28931.6699235734,9.70130589113565,0.291528942663378,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.0928986678497559,0.164497526591282,0.0524637826908008
2024,23439.4379156508,14661.495556978,37472.7972099793,10.0621752636957,0.239389744400596,"Darkblotched RF","Biomass index","Total biomass (kg)",175879.057412567,0.133270204312432,0.213060029779883,0.0833612356847348
2003,39662.6075396428,21673.9866111387,72581.1298616966,10.588164147256,0.308320002448127,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.398710165527029,0.729625107788778,0.217878735802239
2004,38947.725640919,21791.7499899093,69610.0741474508,10.5699756578333,0.296275302042872,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.391523782738466,0.699758435144198,0.219062557521366
2005,37521.439790085,21476.3746817645,65553.8220385207,10.5326677763201,0.284678199598,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.377185979377794,0.658982776404302,0.215892232897907
2006,24669.4008131175,13483.2871104157,45135.8286369293,10.1133189211505,0.308226436942279,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.247990273252198,0.453729969443955,0.135541356686372
2007,14965.7800999271,7884.25308743415,28407.8366733741,9.61352154722266,0.326995181095701,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.150444184864019,0.285571069702993,0.0792568126138933
2008,16625.6448783693,8635.8922074345,32007.3549996013,9.7187016544481,0.334199684192151,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.167130051013987,0.321755391327162,0.0868126990404827
2009,20908.4805041211,11496.6544130096,38025.3716678233,9.94791012139967,0.305158041014792,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.210183450858205,0.382251777489695,0.115570641174728
2010,35298.6243189625,20009.0436864977,62271.4857508185,10.4715992710278,0.28962758542959,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.354841025795469,0.625986941642882,0.201141821356733
2011,56175.3154664849,33181.0435346368,95104.4853205107,10.9362327128185,0.268626721209794,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.564704912701184,0.956042162548279,0.333553948686596
2012,46645.9941694654,27677.1418430353,78615.3709222448,10.7503423326949,0.266321314844439,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.468910977118472,0.790284590392801,0.278225726700445
2013,31748.0431497868,17621.3373568351,57199.8721453316,10.3655863693439,0.300373158610979,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.319148647167457,0.575004315296096,0.177139294922278
2014,32914.0974050303,19090.3327784728,56747.9792290184,10.4016563375309,0.277922958368745,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.330870460582194,0.570461641209839,0.191906438185217
2015,31567.5312537207,17135.1116330673,58155.9694966661,10.3598843793724,0.311740131446019,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.317334043125396,0.584615527388733,0.172251488728164
2016,26844.5437394929,14949.1889857948,48205.2591124718,10.1978178666047,0.298681783092332,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.269855996411052,0.484585558849015,0.1502774019349
2017,46126.1387715692,21388.0035962307,99477.2919501948,10.7391350698526,0.392124351112437,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.463685107096232,1,0.215003878542844
2018,29118.1091823334,15413.6343541615,55007.4215381513,10.2791155682771,0.324550771804566,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.292711116391386,0.552964605889069,0.154946260116114
2019,17510.6832969704,8694.20431791657,35267.6355782119,9.77056644776068,0.357228265919792,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.176026939954673,0.354529510070191,0.0873988841822261
2021,21197.1180159006,11377.47016762,39491.8910408366,9.96162050877287,0.31747018610756,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.213084992568086,0.396994030161265,0.114372536129314
2022,24725.5790391878,13888.3962370315,44019.0680327101,10.1155935753952,0.294283268753605,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.248555007423877,0.442503682697244,0.139613734599701
2023,20759.2977828587,11233.6845023143,38362.1637538974,9.94074951121923,0.313310564656114,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.208683784770219,0.385637395246989,0.112927124191707
2024,22104.8364874679,12210.0373833382,40018.2063983251,10.0035517091494,0.302831115792257,"Dover sole","Biomass index","Total biomass (kg)",99477.2919501948,0.222209873772349,0.402284839221005,0.122741955917451
2003,12324.8655756492,5963.0009234018,25474.1385099709,9.41937409221037,0.370437902920149,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.226776904466732,0.468722862719229,0.109718915994757
2004,20532.9576700967,10718.0423677364,39335.7607869789,9.92978656539864,0.331691177760347,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.377805384682721,0.723776012919724,0.197211438549139
2005,20559.8733444934,11416.7218151884,37025.3737267432,9.93109655926284,0.30013927723414,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.378300631732991,0.681265007633352,0.210067105114845
2006,14165.3869535472,7571.97018486597,26500.1291136592,9.55855672947337,0.319571257249206,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.260642404915614,0.487601038037918,0.139323869189368
2007,16498.1723078781,8651.88203927038,31460.1711240379,9.7110048845338,0.329328873679014,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.303565537682733,0.578865560659649,0.159194192799438
2008,18809.9211889858,10210.5237656488,34651.8105492478,9.84213973243972,0.311722831713226,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.346101600404409,0.637591564978358,0.187873121888866
2009,33160.233362495,20232.6043056255,54347.9751812965,10.4091066466942,0.252074014565736,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.610146620032808,1,0.37227889793746
2010,28681.1918468443,16543.4375112046,49724.2949174466,10.2639968505741,0.280746012553688,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.527732482234494,0.914924516535786,0.304398415139078
2011,24243.4515164405,14011.8737416946,41946.2059296942,10.095901819339,0.279720163285415,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.446078284159954,0.771808071777616,0.257817769566449
2012,25096.5849534128,14752.8477093297,42692.6779651876,10.1304870582302,0.271074190264936,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.461775896336422,0.785543119550846,0.271451653168613
2013,12463.0848474338,5961.14891231997,26056.8031765345,9.43052634174943,0.376286419322889,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.229320132090641,0.479443863172694,0.109684839084336
2014,12524.5161764638,6235.40622922001,25156.9023232873,9.43544329658132,0.355845460961732,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.230450465443909,0.462885732897458,0.114731159871544
2015,11900.0452563468,5965.35488564757,23738.9191117218,9.38429748214674,0.352339971638003,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.218960232035326,0.436794913380534,0.109762228781257
2016,11188.8887529604,5250.79355754216,23842.3450006523,9.32267648922191,0.385997904659869,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.205874988270234,0.438697944516201,0.0966143364132025
2017,14003.7595639386,6898.66209734382,28426.5672325229,9.54708111282824,0.361230280537803,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.25766846910532,0.523047402183729,0.126935034365695
