year,index,metric,order,timeseries
1998,0.1587,% COMU diet,1,Smelts (No CC YH Common murre)
1999,0.1996,% COMU diet,1,Smelts (No CC YH Common murre)
2000,0.5462,% COMU diet,1,Smelts (No CC YH Common murre)
2001,0.2693,% COMU diet,1,Smelts (No CC YH Common murre)
2002,0.3285,% COMU diet,1,Smelts (No CC YH Common murre)
2003,NA,% COMU diet,1,Smelts (No CC YH Common murre)
2004,NA,% COMU diet,1,Smelts (No CC YH Common murre)
2005,NA,% COMU diet,1,Smelts (No CC YH Common murre)
2006,NA,% COMU diet,1,Smelts (No CC YH Common murre)
2007,0.3056,% COMU diet,1,Smelts (No CC YH Common murre)
2008,0.089,% COMU diet,1,Smelts (No CC YH Common murre)
2009,0.3458,% COMU diet,1,Smelts (No CC YH Common murre)
2010,0.7179,% COMU diet,1,Smelts (No CC YH Common murre)
2011,0.3583,% COMU diet,1,Smelts (No CC YH Common murre)
2012,0.6404,% COMU diet,1,Smelts (No CC YH Common murre)
2013,0.55,% COMU diet,1,Smelts (No CC YH Common murre)
2014,0.8115,% COMU diet,1,Smelts (No CC YH Common murre)
2015,0.5625,% COMU diet,1,Smelts (No CC YH Common murre)
2016,0.819,% COMU diet,1,Smelts (No CC YH Common murre)
2017,0.5349,% COMU diet,1,Smelts (No CC YH Common murre)
2018,0.309,% COMU diet,1,Smelts (No CC YH Common murre)
2019,0.647,% COMU diet,1,Smelts (No CC YH Common murre)
2020,0.46,% COMU diet,1,Smelts (No CC YH Common murre)
2021,0.432,% COMU diet,1,Smelts (No CC YH Common murre)
2022,NA,% COMU diet,1,Smelts (No CC YH Common murre)
2023,0.5323,% COMU diet,1,Smelts (No CC YH Common murre)
2024,0.682,% COMU diet,1,Smelts (No CC YH Common murre)
1998,0.5714,% COMU diet,2,Herring/sardine (No CC YH Common murre)
1999,0.1398,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2000,0.0255,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2001,0.1347,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2002,0.2227,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2003,NA,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2004,NA,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2005,NA,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2006,NA,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2007,0.4444,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2008,0.0548,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2009,0.2991,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2010,0.0701,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2011,0.127,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2012,0.1232,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2013,0.2,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2014,0.082,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2015,0.2917,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2016,0.0259,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2017,0.0233,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2018,0.1,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2019,0.039,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2020,0.099,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2021,0.091,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2022,NA,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2023,0.2097,% COMU diet,2,Herring/sardine (No CC YH Common murre)
2024,0.03,% COMU diet,2,Herring/sardine (No CC YH Common murre)
1998,0.1905,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
1999,0.3819,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2000,0.2887,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2001,0.4915,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2002,0.3318,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2003,NA,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2004,NA,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2005,NA,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2006,NA,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2007,0,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2008,0.7055,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2009,0.2991,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2010,0.0274,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2011,0.1629,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2012,0.0542,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2013,0.0962,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2014,0.0164,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2015,0.0417,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2016,0.1552,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2017,0.3488,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2018,0.1,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2019,0.067,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2020,0.351,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2021,0.215,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2022,NA,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2023,0.1613,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
2024,0.121,% COMU diet,3,Pacific sandlance (No CC YH Common murre)
1998,0,% COMU diet,4,Flatfishes (No CC YH Common murre)
1999,0.0743,% COMU diet,4,Flatfishes (No CC YH Common murre)
2000,0.0406,% COMU diet,4,Flatfishes (No CC YH Common murre)
2001,0.0281,% COMU diet,4,Flatfishes (No CC YH Common murre)
2002,0.0131,% COMU diet,4,Flatfishes (No CC YH Common murre)
2003,NA,% COMU diet,4,Flatfishes (No CC YH Common murre)
2004,NA,% COMU diet,4,Flatfishes (No CC YH Common murre)
2005,NA,% COMU diet,4,Flatfishes (No CC YH Common murre)
2006,NA,% COMU diet,4,Flatfishes (No CC YH Common murre)
2007,0.0833,% COMU diet,4,Flatfishes (No CC YH Common murre)
2008,0.0137,% COMU diet,4,Flatfishes (No CC YH Common murre)
2009,0.0093,% COMU diet,4,Flatfishes (No CC YH Common murre)
