port_geo_id2,city,state,Engagement,Reliance,year,Engagement_Rank,Reliance_Rank,PACFIN_YEAR,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,REGION,top_5_e,top_5_r
667000,SAN FRANCISCO,CA,4.662751941551687,-0.14596720124582552,2023,High,Low,2023,37.72723900000001,-123.03222900000002,CCA,Top 5 Engagement Community,NA
668000,SAN JOSE,CA,1.9564096914890232,-0.16094141971177306,2023,High,Low,2023,37.29673900000001,-121.818909,CCA,Top 5 Engagement Community,NA
653070,OAKLEY,CA,1.7388398017384226,0.0268365910669513,2023,High,Medium,2023,37.996149,-121.693624,CCA,Top 5 Engagement Community,NA
660620,RICHMOND,CA,1.3374766453662847,-0.11460669086895851,2023,Medium High,Low,2023,37.952278,-122.360609,CCA,Top 5 Engagement Community,NA
600562,ALAMEDA,CA,1.3339626808091918,-0.08122757571408651,2023,Medium High,Low,2023,37.741911,-122.259914,CCA,Top 5 Engagement Community,NA
623042,EUREKA,CA,2.4644334527343412,0.2719727651239784,2023,High,Medium,2023,40.793401,-124.155246,NCA,Top 5 Engagement Community,NA
625058,FORT BRAGG,CA,1.6546792108758797,0.9614919989102833,2023,High,Medium High,2023,39.439803000000005,-123.80175699999998,NCA,Top 5 Engagement Community,Top 5 Reliance Community
617022,CRESCENT CITY,CA,0.9775413662890996,0.6518782756463912,2023,Medium High,Medium,2023,41.76451400000001,-124.200779,NCA,Top 5 Engagement Community,Top 5 Reliance Community
638702,KLAMATH,CA,0.5375827859581688,4.392888878346289,2023,Medium,High,2023,41.532204,-124.00641299999998,NCA,Top 5 Engagement Community,Top 5 Reliance Community
660900,RIO DELL,CA,0.5375827859581688,0.933689001535132,2023,Medium,Medium High,2023,40.49559100000001,-124.11493,NCA,Top 5 Engagement Community,Top 5 Reliance Community
4159000,PORTLAND,OR,7.947392262058512,-0.11782248015914012,2023,High,Low,2023,45.536951,-122.64997099999998,OR,Top 5 Engagement Community,NA
4123850,EUGENE,OR,4.3386910234925775,-0.06613423187288722,2023,High,Low,2023,44.055128,-123.117431,OR,Top 5 Engagement Community,NA
4108650,BROOKINGS,OR,2.8553129016044294,1.562713454488545,2023,High,Medium High,2023,42.072408,-124.30490899999998,OR,Top 5 Engagement Community,NA
4169600,SPRINGFIELD,OR,2.787247720690042,0.01431084376599151,2023,High,Medium,2023,44.053763999999994,-122.981118,OR,Top 5 Engagement Community,NA
4163650,ROSEBURG,OR,2.6476033943041744,0.3054260504207699,2023,High,Medium,2023,43.223604,-123.35203699999998,OR,Top 5 Engagement Community,NA
666000,SAN DIEGO,CA,22.514529441671577,-0.1041361355553264,2023,High,Low,2023,32.814977,-117.13556199999998,SCA,Top 5 Engagement Community,NA
644000,LOS ANGELES,CA,10.85934628153242,-0.1589604021334307,2023,High,Low,2023,34.019394000000005,-118.41082500000002,SCA,Top 5 Engagement Community,NA
636000,HUNTINGTON BEACH,CA,5.325210602858392,-0.04807046088486493,2023,High,Low,2023,33.69800700000001,-118.003834,SCA,Top 5 Engagement Community,NA
651182,NEWPORT BEACH,CA,4.97502431583611,0.08934674222543373,2023,High,Medium,2023,33.597133000000014,-117.89026300000002,SCA,Top 5 Engagement Community,NA
645806,MARINA DEL REY,CA,4.668986969049497,2.16663534940217,2023,High,High,2023,33.978840999999996,-118.45251,SCA,Top 5 Engagement Community,Top 5 Reliance Community
5363000,SEATTLE,WA,9.83485460325952,-0.11241796277155348,2023,High,Low,2023,47.619349,-122.351471,WA,Top 5 Engagement Community,NA
5379625,WOODLAND,WA,3.923272008892068,2.5834811567348757,2023,High,High,2023,45.918183000000006,-122.753502,WA,Top 5 Engagement Community,NA
5305280,BELLINGHAM,WA,3.7667393709416697,0.02043441708700148,2023,High,Medium,2023,48.753442,-122.470179,WA,Top 5 Engagement Community,NA
5370000,TACOMA,WA,3.4965763851731335,-0.10095499872025576,2023,High,Low,2023,47.25219900000001,-122.459832,WA,Top 5 Engagement Community,NA
5326735,GIG HARBOR,WA,2.883989756943648,0.9152592324786016,2023,High,Medium High,2023,47.338245,-122.600778,WA,Top 5 Engagement Community,NA
606210,BETHEL ISLAND,CA,0.6287713059348976,1.5940919254275434,2023,Medium,Medium High,2023,38.02813000000001,-121.629851,CCA,NA,Top 5 Reliance Community
607260,BODEGA BAY,CA,0.0681544486716436,0.9278793758060886,2023,Medium,Medium High,2023,38.327215,-123.02923,CCA,NA,Top 5 Reliance Community
611250,CARMEL-BY-THE-SEA,CA,0.4330199189740015,0.8093314341539303,2023,Medium,Medium,2023,36.552966999999995,-121.92196300000003,CCA,NA,Top 5 Reliance Community
608310,BRISBANE,CA,0.4330199189740015,0.4909754170430771,2023,Medium,Medium,2023,37.67575000000001,-122.383302,CCA,NA,Top 5 Reliance Community
653266,OCCIDENTAL,CA,-0.06797591315713096,0.4621892773435305,2023,Low,Medium,2023,38.400378,-122.93495,CCA,NA,Top 5 Reliance Community
657876,POINT ARENA,CA,0.13270566502893805,2.06970894143913,2023,Medium,High,2023,38.912314,-123.695593,NCA,NA,Top 5 Reliance Community
4122800,ELKTON,OR,0.5410967505152617,23.813378526179584,2023,Medium,High,2023,43.637429,-123.569148,OR,NA,Top 5 Reliance Community
4183050,WINCHESTER BAY,OR,0.4330199189740015,16.805099517805846,2023,Medium,High,2023,43.669982000000005,-124.18693799999998,OR,NA,Top 5 Reliance Community
4128000,GARIBALDI,OR,0.8133574741728109,5.440094199779032,2023,Medium High,High,2023,45.560783,-123.91135,OR,NA,Top 5 Reliance Community
