time,index,timeseries,metric
1990-03-15T00:00:00Z,1.163,39N,"m^2 s^(-1)"
1990-03-15T00:00:00Z,0.087,45N,"m^2 s^(-1)"
1990-04-15T00:00:00Z,0.311,33N,"m^2 s^(-1)"
1990-04-15T00:00:00Z,1.331,39N,"m^2 s^(-1)"
1990-04-15T00:00:00Z,0.259,45N,"m^2 s^(-1)"
1990-05-15T00:00:00Z,0.447,33N,"m^2 s^(-1)"
1990-05-15T00:00:00Z,1.467,39N,"m^2 s^(-1)"
1990-05-15T00:00:00Z,0.221,45N,"m^2 s^(-1)"
1990-06-15T00:00:00Z,0.388,33N,"m^2 s^(-1)"
1990-06-15T00:00:00Z,1.229,39N,"m^2 s^(-1)"
1990-06-15T00:00:00Z,0.3,45N,"m^2 s^(-1)"
1990-07-15T00:00:00Z,0.279,33N,"m^2 s^(-1)"
1990-07-15T00:00:00Z,0.856,39N,"m^2 s^(-1)"
1990-07-15T00:00:00Z,0.635,45N,"m^2 s^(-1)"
1990-08-15T00:00:00Z,0.357,33N,"m^2 s^(-1)"
1990-08-15T00:00:00Z,0.629,39N,"m^2 s^(-1)"
1990-08-15T00:00:00Z,0.263,45N,"m^2 s^(-1)"
1990-09-15T00:00:00Z,0.311,33N,"m^2 s^(-1)"
1990-09-15T00:00:00Z,0.962,39N,"m^2 s^(-1)"
1990-09-15T00:00:00Z,0.355,45N,"m^2 s^(-1)"
1990-10-15T00:00:00Z,0.171,33N,"m^2 s^(-1)"
1990-10-15T00:00:00Z,1.135,39N,"m^2 s^(-1)"
1990-10-15T00:00:00Z,0.108,45N,"m^2 s^(-1)"
1990-11-15T00:00:00Z,0.52,33N,"m^2 s^(-1)"
1990-11-15T00:00:00Z,1.206,39N,"m^2 s^(-1)"
1990-11-15T00:00:00Z,-0.019,45N,"m^2 s^(-1)"
1990-12-15T00:00:00Z,0.344,33N,"m^2 s^(-1)"
1990-12-15T00:00:00Z,1.102,39N,"m^2 s^(-1)"
1990-12-15T00:00:00Z,0.443,45N,"m^2 s^(-1)"
1991-01-15T00:00:00Z,0.143,33N,"m^2 s^(-1)"
1991-01-15T00:00:00Z,0.29,39N,"m^2 s^(-1)"
1991-01-15T00:00:00Z,-0.035,45N,"m^2 s^(-1)"
1991-02-15T00:00:00Z,0.289,33N,"m^2 s^(-1)"
1991-02-15T00:00:00Z,0.36,39N,"m^2 s^(-1)"
1991-02-15T00:00:00Z,-0.222,45N,"m^2 s^(-1)"
1991-03-15T00:00:00Z,0.477,33N,"m^2 s^(-1)"
