year,index,metric,order,timeseries
1987,0.922578899,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1988,0.540871195,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1989,0.732940238,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1990,0.966197004,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1991,NA,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1992,-0.540887474,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1993,-0.107231913,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1994,-0.645622825,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1995,-0.325287674,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1996,0.199475215,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1997,NA,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1998,-0.181865532,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
1999,0.366062933,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2000,0.193798082,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2001,0.098314325,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2002,-1.209894255,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2003,0.334173789,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2004,-0.084955519,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2005,0.582497434,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2006,-0.783925523,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2007,NA,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2008,-1.68701551,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2009,-1.68701551,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2010,0.362202513,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2011,-0.005774273,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2012,-1.084955519,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2013,0.693195732,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2014,0.491961437,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2015,1.272025882,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2016,0.530468434,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2017,0.132528426,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2018,0.321584662,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2019,-0.155536593,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2020,NA,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2021,NA,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2022,-0.014917652,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2023,0.392165736,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2024,-0.408261909,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
2025,-0.209894255,Density anomaly,3,"Sooty shearwater (So CC, Spring)"
