year,index,timeseries_original,timeseries,,
1995,2.269059,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1996,2.226109,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1997,2.280978,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1998,2.205342,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1999,2.084039,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2000,2.156787,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2001,2.227733,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2002,2.120691,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2003,2.074016,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2004,2.099276,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2005,2.027706,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2006,2.061939,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2007,2.040503,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2008,2.060653,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2009,2.072773,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2010,2.066006,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2011,2.026716,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2012,2.027711,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2013,1.949913,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2014,1.994339,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2015,1.972176,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2016,1.956587,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2017,1.953375,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2018,1.956868,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2019,1.965798,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2020,1.832206,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2021,1.79015,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2022,1.854133,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
2023,1.792625,Annual ESI: vessels w/ avg. rev >$100K,vess_rev_100k,,
1981,1.802137,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1982,1.791183,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1983,1.798863,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1984,1.880372,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1985,1.71641,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1986,1.659501,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1987,1.665128,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1988,1.764181,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1989,1.598156,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1990,1.66626,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1991,1.651318,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1992,1.62045,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1993,1.623032,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1994,1.654287,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1995,1.641714,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1996,1.522826,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1997,1.558422,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1998,1.609941,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1999,1.502257,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2000,1.568941,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2001,1.581324,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2002,1.55914,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2003,1.513316,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2004,1.529754,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2005,1.555584,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2006,1.568589,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2007,1.517305,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2008,1.578693,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2009,1.552223,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2010,1.609847,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2011,1.54132,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2012,1.54032,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2013,1.564208,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2014,1.509267,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2015,1.528573,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2016,1.535252,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2017,1.581817,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2018,1.591499,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2019,1.539729,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2020,1.576095,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2021,1.5343,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2022,1.479499,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
2023,1.458964,Annual ESI: vessels w/ avg. rev <41,vess_rev_5k_len_40,,
1981,2.064666,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1982,2.09517,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1983,1.995835,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1984,2.165647,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1985,2.137789,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1986,2.204742,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1987,2.38384,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1988,2.497473,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1989,2.064128,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1990,2.336438,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1991,2.47159,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1992,2.486934,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1993,2.54642,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1994,2.556909,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1995,2.359155,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1996,2.234589,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1997,2.387353,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1998,2.306997,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1999,2.200376,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2000,2.259482,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2001,2.353573,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2002,2.171222,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2003,2.106959,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2004,2.177286,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2005,2.14657,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2006,2.182653,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2007,2.176434,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2008,2.162516,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2009,2.192926,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2010,2.185055,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2011,2.165906,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2012,2.185788,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2013,2.07208,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2014,2.145499,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2015,2.148343,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2016,2.105089,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2017,2.094814,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2018,2.120957,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2019,2.163889,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2020,2.043392,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2021,2.008498,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2022,2.103301,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
2023,2.013625,Annual ESI: vessels w/ avg. rev >$5k 41-80 Feet,vess_rev_5k_len_41-80,,
1981,2.002493,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1982,2.040594,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1983,1.843573,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1984,1.844922,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1985,2.047479,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1986,2.151153,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1987,2.110649,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1988,2.227317,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1989,2.248685,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1990,2.512515,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1991,2.579569,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1992,2.718905,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1993,2.735913,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1994,2.446051,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1995,2.393983,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1996,2.796396,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1997,2.585158,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1998,2.352843,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1999,2.308776,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2000,2.506504,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2001,2.350251,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2002,2.364917,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2003,2.457936,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2004,2.44818,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2005,2.141562,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2006,2.347484,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2007,2.35522,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2008,2.326406,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2009,2.307736,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2010,2.361401,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2011,2.281745,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2012,2.202438,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2013,2.048188,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2014,2.174885,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2015,2.1314,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2016,2.198266,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2017,2.158569,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2018,2.213865,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2019,2.19617,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2020,1.956316,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2021,1.773639,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2022,1.990646,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
2023,1.881157,Annual ESI: vessels w/ avg. rev >$5k 81-125 Feet,vess_rev_5k_len_81-125,,
1981,1.892849,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,, 
1982,1.914236,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1983,1.870726,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1984,2.012295,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1985,2.032553,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1986,2.139802,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1987,2.308859,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1988,2.167867,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1989,1.869941,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1990,2.069918,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1991,2.147055,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1992,2.281928,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1993,2.235621,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1994,2.269494,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1995,2.101863,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1996,2.07206,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1997,2.146498,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1998,2.10449,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1999,1.955746,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2000,1.986076,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2001,2.024709,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2002,1.89299,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2003,1.800964,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2004,1.89097,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2005,1.82464,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2006,1.831834,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2007,1.858286,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2008,1.777612,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2009,1.856074,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2010,1.783915,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2011,1.713154,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2012,1.74333,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2013,1.650721,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2014,1.717547,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2015,1.702106,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2016,1.675333,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2017,1.643922,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2018,1.632766,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2019,1.692529,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2020,1.583169,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2021,1.535625,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2022,1.601666,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
2023,1.512516,Annual ESI vessels w/ 2023 WA rev>$5K,vess_2023_WA_rev_5k,,
1981,1.83879,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1982,1.773579,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1983,1.801681,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1984,1.872593,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1985,1.827677,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1986,1.903775,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1987,1.987203,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1988,1.881653,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1989,1.760817,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1990,1.84966,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1991,1.947418,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1992,2.059856,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1993,2.045863,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1994,2.010548,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1995,2.017179,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1996,2.088971,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1997,2.151201,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1998,2.105007,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1999,2.067697,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2000,2.04155,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2001,2.095471,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2002,2.015954,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2003,1.997341,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2004,1.958937,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2005,1.980825,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2006,1.8831,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2007,1.953307,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2008,1.908229,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2009,1.89329,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2010,1.860711,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2011,1.808458,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2012,1.83724,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2013,1.722687,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2014,1.749059,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2015,1.750891,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2016,1.714168,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2017,1.721513,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2018,1.69191,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2019,1.740796,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2020,1.615215,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2021,1.545725,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2022,1.713371,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
2023,1.456911,Annual ESI vessels w/ 2023 OR rev>$5K,vess_2023_OR_rev_5k,,
1981,1.85384,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1982,1.814844,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1983,1.845184,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1984,1.842893,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1985,1.845034,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1986,1.839978,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1987,1.919823,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1988,1.948382,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1989,1.823274,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1990,1.854526,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1991,1.883466,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1992,1.863427,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1993,1.832466,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1994,1.802047,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1995,1.815758,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1996,1.767628,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1997,1.837106,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1998,1.754369,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
1999,1.741413,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2000,1.788195,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2001,1.837819,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2002,1.764477,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2003,1.702968,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2004,1.661473,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2005,1.641088,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2006,1.584956,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2007,1.645658,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2008,1.523017,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2009,1.538313,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2010,1.547349,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2011,1.545445,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2012,1.550082,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2013,1.549311,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2014,1.58834,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
2015,1.64463,Annual ESI vessels w/ 2023 CA rev>$5K,vess_2023_CA_rev_5k,,
