year,index,timeseries_original,timeseries,,
1998,2.058443,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1999,1.930122,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2000,2.008581,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2001,2.055187,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2002,1.98099,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2003,1.926657,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2004,1.93926,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2005,1.925152,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2006,1.935101,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2007,1.888966,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2008,1.916305,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2009,1.912377,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2010,1.95136,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2011,1.884786,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2012,1.880021,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2013,1.863276,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2014,1.840323,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2015,1.834889,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2016,1.829831,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2017,1.852233,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2018,1.867315,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2019,1.832719,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2020,1.792204,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2021,1.747864,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2022,1.737258,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
2023,1.646911,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1981,2.169651,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1982,2.204129,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1983,2.085285,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1984,2.288069,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1985,2.182791,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1986,2.213662,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
